Food.Pantry,Borough,Original,Greenmarket,Address,Zipcode,Lat,Lon,Calendar,Programs,Website,Food.Pantry.1,Address.1,Type,Phone,Address2,Boro,Days,SNAP,latitude,longitude,zip
HANSON PLACE SEVENTH DAY ADVENTIST CHURCH,Brooklyn,Bartel-Pritchard Square Greenmarket Wednesday - Hanson Place SDA Church Pantry ,Bartel-Pritchard Square Greenmarket,Prospect Park W & 15th St,11215,40.66096396,-73.98020639,"Market open dates (Sundays): 5/13/2017 to 11/18/2017

Open year-round (Wednesdays only)",EBT,https://www.grownyc.org/greenmarket,HANSON PLACE SEVENTH DAY ADVENTIST CHURCH,HANSON PLACE SEVENTH DAY ADVENTIST CHURCH,FP,7183997513,150 SOUTH PORTLAND AVENUE,BK,Monday - Friday,On site SNAP outreach services provided by organization,40.68473799,-73.97413323,11217
CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY,Brooklyn,Bay Ridge Greenmarket - Goke Food Pantry,Bay Ridge Greenmarket,95th St & 3 Ave,11209,40.61728571,-74.03358994,Market open dates: 5/13/2017 to 11/18/2017,EBT,https://www.grownyc.org/greenmarket,CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY,CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY,FP,718-284-7479,622 CORTELYOU ROAD,BK,Tuesday & Saturday ,On site SNAP prescreening and application services/ FBNYC TEN site (vendor contracted by HRA),40.63858417,-73.97257656,11218
CHILDREN OF THE LIGHT INTERNATIONAL MINISTRIES INC,Brooklyn,Brooklyn Borough Hall - Children of the Light ,Brooklyn Borough Hall Greenmarket,Court St & Montague St,11201,40.69372964,-73.99045606,Open year-round,EBT,https://www.grownyc.org/greenmarket,Children of the Light ,CHILDREN OF THE LIGHT INTERNATIONAL MINISTRIES INC,FP,347-794-4130,9815 AVENUE L,BK,"Monday , Wednesday, \nFriday & Saturday",HRA provides SNAP outreach materials for distribution and posting,40.63943625,-73.89413138,11236
HANSON PLACE SEVENTH DAY ADVENTIST CHURCH,Brooklyn,Carroll Gardens Greenmarket - Hanson Place SDA Church Pantry,Carroll Gardens Greenmarket,Carroll St bet Smith & Court St,11231,40.68054952,-73.99465464,Open year-round,EBT,https://www.grownyc.org/greenmarket,Hanson Place SDA Church Pantry,HANSON PLACE SEVENTH DAY ADVENTIST CHURCH,FP,7183997513,150 SOUTH PORTLAND AVENUE,BK,Monday - Friday,On site SNAP outreach services provided by organization,40.68473799,-73.97413323,11217
EMMAUS SDA CHURCH,Brooklyn,Cortelyou Greenmarket - Emmaus SDA Church Pantry,Cortelyou Greenmarket,Cortelyou Rd & Rugby Rd,11226,40.64083294,-73.9653021,Open year-round,EBT,https://www.grownyc.org/greenmarket,Emmaus SDA Church Pantry,EMMAUS SDA CHURCH,FP,718-287-2121,1144 FLATBUSH AVENUE,BK,Monday - Friday ,"New site, Coordinating future SNAP outreach services",40.6424717,-73.9575274,11226
NEIGHBORS TOGETHER,Brooklyn,McCarren Park Greenmarket - Neighbors Together,McCarren Park Greenmarket,Union bet Driggs & N 12th St,11222,40.71922733,-73.95247994,Open year-round,EBT,https://www.grownyc.org/greenmarket,Neighbors Together,NEIGHBORS TOGETHER,SK,7184987256,2094 FULTON STREET,BK,Tuesday & Thursday ,On site SNAP outreach services provided by organization,40.67844522,-73.91404635,11233
HOLY INNOCENTS,Brooklyn,Parkside Greenmarket - Holy Innocents Church Pantry,Parkside Plaza Greenmarket,Parkside Ave & Ocean Ave,11226,40.65489064,-73.96188178,Market open dates: 6/11/2017 to 11/19/2017,EBT,https://www.grownyc.org/greenmarket,Holy Innocents Church Pantry,HOLY INNOCENTS,FP,718-469-9500,279 EAST 17TH STREET,BK,Monday ,HRA provides SNAP outreach materials for distribution and posting,40.64379657,-73.96297852,11226
CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY,Brooklyn,Sunset Park Greenmarket - Goke Food Pantry,Sunset Park Greenmarket,59th St & 4 Ave,11220,40.64084493,-74.01843209,Market open dates: 7/1/2017 to 11/18/2017,"EBT, DOHMH Cooking Demos",https://www.grownyc.org/greenmarket,Goke Food Pantry,CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY,FP,718-284-7479,622 CORTELYOU ROAD,BK,Tuesday & Saturday ,On site SNAP prescreening and application services/ FBNYC TEN site (vendor contracted by HRA),40.63858417,-73.97257656,11218
TRINITY HUMAN SERVICE CORPORATION,Brooklyn,Williamsburg Greenmarket - Trinity Human Services Corporation ,South Williamsburg Greenmarket,Taylor St & Lee Ave,11211,40.70700548,-73.96136506,Market open dates: 7/6/2017 to 11/21/2017,"EBT, DOHMH Cooking Demos",https://www.grownyc.org/greenmarket, Trinity Human Services Corporation ,TRINITY HUMAN SERVICE CORPORATION,FP,7183883176,153 JOHNSON AVENUE,BK,Monday - Thursday ,SNAP services provided by an external organization. (APICHA),40.706498,-73.944237,11206
TRUE GOSPEL TABERNACLE,Bronx,Bronx Borough Hall Greenmarket - True Baptist/True Gospel,Bronx Borough Hall Greenmarket,Grand Concourse bet 161st & 162nd Sts,10451,40.82772964,-73.92223437,Market open dates: 6/6/2017 to 11/28/2017,"EBT, DOHMH Cooking Demos",https://www.grownyc.org/greenmarket,True Baptist/True Gospel,TRUE GOSPEL TABERNACLE,FP,718-901-2786,1 WEST TREMONT AVE,BX,Saturday ,HRA provides SNAP outreach materials for distribution and posting,40.85186814,-73.90934727,10453
